Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_hand_link,0.010035126340455,-0.00366835056360167,0.0582695212892126,0,0,0,0.0772404708059179,0.000136222578865527,5.22890614539027E-07,3.01644565381809E-06,0.00010133280150506,-1.20727087562308E-05,5.12106939039409E-05,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_link.STL,,MH2.25-V3.0-01R-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hand_ee_link,1.4529186126289E-19,-2.85196737334113E-18,0,0,0,0,5.65450977765344E-06,1.49608904533747E-11,5.76854918783085E-28,5.33110096152937E-28,6.36132349986012E-12,-2.37175435605063E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ee_link.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ee_link.STL,,MH2.25-V3.0-13-2,h1,a0,right_hand_ee_joint,fixed,0,0,0.065,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_back_link,-0.0140081519632461,-0.00149245332244742,-0.000647126026633069,0,0,0,2.02807066114746E-07,2.8655399358135E-10,-3.78582470558425E-13,1.58521027688715E-13,1.38631316902928E-10,1.37428044203342E-12,1.63565671491032E-10,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_back_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_back_link.STL,,MH2.25-V3.0-02R-1,h1,a0,right_hand_back_joint,fixed,0,0,0.065,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_bend_link,-0.00116534489100702,0.0144358799903649,5.40665183232092E-05,0,0,0,0.0036584646089849,4.68578095484499E-07,-2.39985871296329E-09,3.42361767103875E-10,2.00271654235268E-07,-9.96868311131937E-09,4.73722402176899E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_bend_link.STL,,MH2.25-V3.0-03R-1,rt1,b1,right_hand_thumb_bend_joint,revolute,0.0095,0.0228,0.0305,0,0,0,right_hand_link,0,0,-1,1.1,8.63,0,1.832,,,0,0,,,,
right_hand_thumb_rota_link1,-0.00036176505273174,0.0287681485595387,0.00133929684947857,0,0,0,0.0308876879839101,9.76689717875336E-06,2.00651430763235E-06,-1.08185117651995E-08,3.75039603824303E-06,-7.76068478638435E-09,1.13619659539367E-05,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link1.STL,,MH2.25-V3.0-04R-1,rt2,b2,right_hand_thumb_rota_joint1,revolute,0.0083177,0.028599,-0.00178,0,0.2618,-0.0407,right_hand_thumb_bend_link,1,0,0,1.1,8.63,-0.698,1.745,,,0,0,,,,
right_hand_thumb_rotaback_link1,0.00143342397772657,-0.0296289408961753,-0.00759117851370326,0,0,0,5.96904507997187E-08,1.45418120549933E-11,-1.6417585333758E-12,5.45249300894976E-13,1.50180554048301E-11,-1.42015537497952E-12,2.18957156687079E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link1.STL,,MH2.25-V3.0-05R-1,rt3,b3,right_hand_thumb_rotaback_joint1,fixed,0,0.0553000000000007,0,0,0,0,right_hand_thumb_rota_link1,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_rota_link2,-0.000881604281134662,0.0225339954987271,0.000614550644508979,0,0,0,0.0162723004780455,3.54410031060046E-06,3.03514040076112E-07,-7.84179813060931E-09,1.31453198141192E-06,9.14427706797512E-09,4.28243185040566E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link2.STL,,MH2.25-V3.0-06R-1,rt3,b3,right_hand_thumb_rota_joint2,revolute,0,0.0553,0,0,0,0,right_hand_thumb_rota_link1,1,0,0,0.4,14.38,0,1.745,,,0,0,,,,
right_hand_thumb_rotaback_link2,-0.000532663554883375,-0.0258393181739458,-0.00924631111128287,0,0,0,3.52194162093346E-08,7.06364593909917E-12,3.77023368691692E-13,-5.04264847040442E-14,4.99163245780335E-12,4.27332949076132E-13,1.12541330731279E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link2.STL,,MH2.25-V3.0-07R-1,rt4,b4,right_hand_thumb_rotaback_joint2,fixed,0,0.0502276499414863,0,0,0,0,right_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_rota_tip,1.82145964977565E-17,-2.77555756156289E-17,1.31838984174237E-16,0,0,0,5.65450977765345E-06,6.36132349986013E-12,1.00577255934585E-26,-2.12045811323408E-27,1.49608904533747E-11,2.16001595828399E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_tip.STL,,MH2.25-V3.0-13-3,rt4,b4,right_hand_thumb_rota_joint3,fixed,0,0.0502276499414863,0,0,0,0,right_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
right_hand_index_bend_link,-0.000715851164577249,0.000118997558760756,0.0111903014853532,0,0,0,0.0084323199404753,7.8933158875982E-07,-9.22849634312222E-10,-6.12774862815001E-10,8.79801957514404E-07,1.44292735624677E-09,4.276317007006E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_index_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_index_bend_link.STL,,MH2.25-V3.0-08-1,rif1,c1,right_hand_index_bend_joint,revolute,0.0065,0.0265,0.0899,0,0,0,right_hand_link,-1,0,0,0.4,14.38,-0.174,0.174,,,0,0,,,,
