Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_hand_link,0.0101781679017777,0.00332669287155701,0.0570610488181997,0,0,0,0.0745144256109596,0.000132755294578785,-4.69712351500082E-07,3.24923246553428E-06,9.85212755004103E-05,1.18140461561619E-05,5.03847291170233E-05,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_link.STL,,MH2.25-V3.0-01L-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hand_ee_link,4.91746814101629E-21,6.73369254252873E-16,2.77555756156289E-17,0,0,0,5.65450977765345E-06,1.49608904533747E-11,-1.15516640826024E-27,-3.44636829836242E-28,6.36132349986013E-12,1.89752215579909E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ee_link.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ee_link.STL,,MH2.25-V3.0-13-6,h1,a0,left_hand_ee_joint,fixed,0,0,0.0650000000000001,0,0,0,left_hand_link,0,0,0,,,,,,,,,,,,
left_hand_back_link,-0.014009233507471,0.00206609606832526,-0.000644386526891264,0,0,0,2.01947664754537E-07,2.85847958714653E-10,1.58744943677717E-13,1.38275392318059E-13,1.38467036944843E-10,-9.49243627728698E-13,1.62963243548281E-10,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_back_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_back_link.STL,,MH2.25-V3.0-02L-1,h1,a0,left_hand_back_joint,fixed,0,0,0.0650000000000001,0,0,0,left_hand_link,0,0,0,,,,,,,0,0,,,,
left_hand_thumb_bend_link,-0.00116653621756009,-0.0144315029884419,6.50666001038684E-05,0,0,0,0.00366827729077633,4.68782746920731E-07,2.40115951329194E-09,3.24406299196398E-10,2.00573049149174E-07,1.00346959926685E-08,4.73871026685338E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_bend_link.STL,,MH2.25-V3.0-03L-1,lt1,b1,left_hand_thumb_bend_joint,revolute,0.0095,-0.0228,0.0305,0,0,0,left_hand_link,0,0,1,1.1,8.63,0,1.832,,,0,0,,,,
left_hand_thumb_rota_link1,-0.00035301300459029,-0.028699400584612,0.00135210573795722,0,0,0,0.0307633150092899,9.67382097164906E-06,-1.97499807218328E-06,3.20823411610983E-09,3.7351675957852E-06,-2.95467692901853E-09,1.12574256895932E-05,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link1.STL,,MH2.25-V3.0-04L-1,lt2,b2,left_hand_thumb_rota_joint1,revolute,0.0083177,-0.028599,-0.00178,0,0.2618,0.0407,left_hand_thumb_bend_link,-1,0,0,1.1,8.63,-0.698,1.745,,,0,0,,,,
left_hand_thumb_rotaback_link1,0.00145635345487377,0.0296284435379628,-0.00757347054072981,0,0,0,5.95587939829422E-08,1.45145789274391E-11,1.6427597977532E-12,5.33077376056335E-13,1.50079110020774E-11,1.4166634109532E-12,2.187286192961E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link1.STL,,MH2.25-V3.0-05L-1,lt3,b3,left_hand_thumb_rotaback_joint1,fixed,0,-0.0553000000000004,0,0,0,0,left_hand_thumb_rota_link1,0,0,0,,,,,,,0,0,,,,
left_hand_thumb_rota_link2,-0.000460793967924878,-0.0228414268658243,0.000578251608109689,0,0,0,0.0141140249888781,2.88667316367217E-06,-1.47604369659856E-07,-5.11568950027938E-09,1.19048686358935E-06,-4.92432852355733E-09,3.49934307716408E-06,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_link2.STL,,MH2.25-V3.0-06L-1,lt3,b3,left_hand_thumb_rota_joint2,revolute,0,-0.0553,0,0,0,0,left_hand_thumb_rota_link1,-1,0,0,0.4,14.38,0,1.745,,,0,0,,,,
left_hand_thumb_rotaback_link2,-0.000513245945552355,0.0256681874022328,-0.00926148643045993,0,0,0,3.50050261138642E-08,7.00632759131594E-12,-3.71185724026065E-13,-4.70095204641342E-14,4.97672786499809E-12,-4.24113921228482E-13,1.11890189520329E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rotaback_link2.STL,,MH2.25-V3.0-07L-1,lt4,b4,left_hand_thumb_rotaback_joint2,fixed,0,-0.0499881470979494,0,0,0,0,left_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
left_hand_thumb_rota_tip,-6.93889390390723E-18,-2.77555756156289E-17,-1.87350135405495E-16,0,0,0,5.65450977765345E-06,6.36132349986013E-12,-2.65462310591887E-26,-3.09990781315649E-26,1.49608904533747E-11,-8.00627961933115E-29,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_thumb_rota_tip.STL,,MH2.25-V3.0-13-5,lt4,b4,left_hand_thumb_rota_joint3,fixed,0,-0.0499881470979494,0,0,0,0,left_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
left_hand_index_bend_link,-0.000715851164578153,0.000118997558756634,0.0111903014853559,0,0,0,0.00843231994047529,7.8933158875982E-07,-9.2284963431189E-10,-6.12774862813815E-10,8.79801957514404E-07,1.44292735610303E-09,4.27631700700599E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_bend_link.STL,,MH2.25-V3.0-08-1,lif1,c1,left_hand_index_bend_joint,revolute,0.0065,-0.0265,0.0899,0,0,0,left_hand_link,1,0,0,0.4,14.38,-0.174,0.174,,,0,0,,,,
