,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
0,"[ 0.35293713  0.68267363 -0.07424462  2.5561337   0.17136076  1.9813111
 -2.952251    0.        ]","[ 4.9861344e-03 -4.4913986e+01 -8.0114150e-01  1.4151174e+01
  1.0524405e-01 -1.4336128e+00  7.4904878e-04  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.35284626  0.68318135 -0.07418331  2.557123    0.17143194  1.9818207
 -2.9521518   0.        ]","[ 7.5329415e-04 -4.4170427e-03 -3.4240642e-05 -7.7041448e-03
 -8.2177541e-04 -3.8007114e-03 -5.4785027e-04  0.0000000e+00]",0.0,0,0,0,0
1,"[ 0.35295725  0.6825197  -0.07424697  2.5558503   0.17133662  1.9811695
 -2.9522707   0.        ]","[ 4.04274231e-03 -4.45487061e+01 -7.96867728e-01  1.41394186e+01
  1.05182104e-01 -1.43557596e+00  7.42615841e-04  0.00000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.35285777  0.6830816  -0.07418331  2.5569293   0.17142427  1.9817172
 -2.952169    0.        ]","[ 7.1905350e-04 -4.5540053e-03 -3.4240642e-05 -8.5601611e-03
 -6.5057218e-04 -4.3828022e-03 -6.8481284e-04  0.0000000e+00]",0.033333335,1,0,1,0
2,"[ 0.35297787  0.6823274  -0.0742498   2.55549     0.17131975  1.9809805
 -2.952297    0.        ]","[ 5.5913161e-03 -4.4273083e+01 -7.9684365e-01  1.7370001e+01
  1.0507586e-01 -1.4354430e+00  7.3882291e-04  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.35287887  0.68287265 -0.07418523  2.5565171   0.17141084  1.9815081
 -2.952194    0.        ]","[ 5.4785027e-04 -5.2045775e-03 -3.4240642e-05 -1.0237952e-02
 -3.4240642e-04 -5.1703369e-03 -6.8481284e-04  0.0000000e+00]",0.06666667,2,0,2,0
3,"[ 0.35299087  0.6822012  -0.07425172  2.5552552   0.1713101   1.9808614
 -2.9523113   0.        ]","[ 5.5913161e-03 -4.4306583e+01 -7.9684365e-01  1.7513252e+01
  1.0507586e-01 -1.4354430e+00  7.3882291e-04  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.35288268  0.68283623 -0.07418523  2.556448    0.17140894  1.9814659
 -2.9521997   0.        ]","[ 5.1360962e-04 -5.0676153e-03 -3.4240642e-05 -1.0169471e-02
 -3.0816579e-04 -5.2045775e-03 -6.5057218e-04  0.0000000e+00]",0.1,3,0,3,0
4,"[ 0.35283133  0.6822953  -0.07299664  2.5529456   0.17314853  1.9843873
 -2.952364    0.        ]","[ 2.44607143e-02 -4.38953133e+01 -8.03131580e-01  1.41561747e+01
  1.04683384e-01 -1.42917967e+00  7.50521198e-04  0.00000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.35291913  0.6826655  -0.07418714  2.5561297   0.17139934  1.9812934
 -2.9522305   0.        ]","[ 7.8753475e-04 -4.3485616e-03 -3.4240642e-05 -8.4231980e-03
 -2.3968449e-04 -4.5197648e-03 -7.1905350e-04  0.0000000e+00]",0.13333334,4,0,4,0
5,"[ 0.35338944  0.68213546 -0.07341527  2.5521355   0.17196703  1.9871432
 -2.9524324   0.        ]","[ 2.5327131e-02 -5.3927040e+01 -7.1007288e-01  1.3695645e+01
  1.4476486e-01 -1.4033605e+00  6.1041693e-04  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.35293254  0.6825467  -0.07418907  2.5559034   0.17137825  1.981186
 -2.952242    0.        ]","[ 6.8481284e-04 -4.1088769e-03 -6.8481284e-05 -7.7726259e-03
 -5.1360962e-04 -4.0061553e-03 -5.4785027e-04  0.0000000e+00]",0.16666667,5,0,5,0
6,"[ 0.3541149   0.6821443  -0.07311233  2.548876    0.16988593  1.9954795
 -2.9574454   0.        ]","[ 6.7901695e-01 -4.2692078e+01 -5.2586633e-01  1.6298052e+01
  1.4528382e-01 -1.2164958e+00  1.0756243e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.35293254  0.68238753 -0.07403567  2.555054    0.17177133  1.9816865
 -2.9522822   0.        ]","[ 3.4240642e-05 -3.1843798e-03  2.7392514e-03 -1.5956139e-02
  6.9166096e-03  8.6628823e-03 -7.1905350e-04  0.0000000e+00]",0.2,6,0,6,0
7,"[ 0.3543501   0.6822592  -0.07262892  2.5474002   0.16857107  2.000473
 -2.9622226   0.        ]","[-1.1560234e+00 -5.2415001e+01 -1.2057182e+00  1.6099228e+01
  3.9400343e-02 -1.5499181e+00 -1.1380056e-04  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.3529364   0.6823281  -0.07395705  2.5544481   0.17184037  1.9827584
 -2.9523396   0.        ]","[ 6.8481284e-05 -2.8419734e-03  4.1431179e-03 -2.3454839e-02
  8.2519948e-03  2.8727898e-02 -1.6093102e-03  0.0000000e+00]",0.23333333,7,0,7,0
8,"[ 0.3512564   0.68582064 -0.0691286   2.5420601   0.1708758   2.0119767
 -2.9741554   0.        ]","[  1.99731    -43.21877      0.08690471  16.678135     0.24872321
  -1.8515993    0.5452329    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.35321632  0.6822801  -0.07370011  2.5526323   0.17166203  1.9867908
 -2.9532142   0.        ]","[ 0.00506762 -0.00140387  0.00564971 -0.03862344 -0.0029447   0.08477983
 -0.01643551  0.        ]",0.26666668,8,0,8,0
9,"[ 0.35061806  0.6861764  -0.06848609  2.5403445   0.1710112   2.0160718
 -2.9769485   0.        ]","[ -0.79740256 -53.662468    -1.1304939    8.450859     1.7565479
   1.655184    -0.23819257   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.35359216  0.6822629  -0.07350069  2.5510485   0.17113473  1.9903266
 -2.9544337   0.        ]","[ 0.00975858 -0.00061633  0.00564971 -0.044821   -0.01239511  0.10080445
 -0.0307481   0.        ]",0.3,9,0,9,0
