,action,observation.effort,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
0,"[-0.77471477 -0.42089885  0.45596159  1.4733096   0.15023348  1.6137117
 -0.42914099  0.        ]","[ 1.7066886e-05 -9.2452631e+00 -3.4357398e+00  1.4642635e+01
 -2.1467115e-01 -1.9993348e+00  1.1904951e-03  0.0000000e+00]","[-0.77457976 -0.42086872  0.45586458  1.4732927   0.15016904  1.6136998
 -0.429087    0.        ]","[-1.0614599e-03 -1.7120321e-04  4.4512836e-04 -9.8334035e-16
  4.1088770e-04  6.8481284e-05 -2.3968449e-04  0.0000000e+00]",0.0,0,124,74400,0
1,"[-0.774749   -0.42090473  0.4559829   1.4733104   0.15024851  1.6137136
 -0.42915577  0.        ]","[ 1.7066886e-05 -9.2117634e+00 -3.4357398e+00  1.4642635e+01
 -2.1467115e-01 -1.9993348e+00  1.1904951e-03  0.0000000e+00]","[-0.77459896 -0.42087257  0.455878    1.4732927   0.15017672  1.6137018
 -0.4290966   0.        ]","[-1.1984225e-03 -2.0544385e-04  6.1633158e-04 -9.8334035e-16
  5.1360962e-04  6.8481284e-05 -3.7664708e-04  0.0000000e+00]",0.033333335,1,124,74401,0
2,"[-0.77476674 -0.42090854  0.45599383  1.4733106   0.1502554   1.613715
 -0.429164    0.        ]","[ 1.7066886e-05 -9.2955132e+00 -3.4357398e+00  1.4642635e+01
 -2.1467115e-01 -1.9993348e+00  1.1904951e-03  0.0000000e+00]","[-0.7746181  -0.42087638  0.45589718  1.4732927   0.15018822  1.6137037
 -0.42911002  0.        ]","[-5.8209093e-04 -1.3696257e-04  5.1360962e-04 -9.8334035e-16
  3.0816579e-04  6.8481284e-05 -3.7664708e-04  0.0000000e+00]",0.06666667,2,124,74402,0
3,"[-0.7748592  -0.42055917  0.45600408  1.474035    0.15022762  1.6135372
 -0.42916545  0.        ]","[ 1.7066886e-05 -9.2620134e+00 -3.4357398e+00  1.4642635e+01
 -2.1467115e-01 -1.9993348e+00  1.1904951e-03  0.0000000e+00]","[-0.7746258  -0.42087832  0.45590293  1.4732927   0.15019205  1.6137037
 -0.42911386  0.        ]","[-4.10887704e-04 -1.02721926e-04  4.10887704e-04 -9.83340348e-16
  2.39684494e-04  3.42406420e-05 -3.08165792e-04  0.00000000e+00]",0.1,3,124,74403,0
4,"[-0.7747894  -0.4212474   0.45586726  1.4746351   0.15034696  1.6139652
 -0.4291382   0.        ]","[-1.7913922e-05 -9.2285385e+00 -3.4364839e+00  1.4642407e+01
 -2.1465014e-01 -1.9993368e+00  1.1904743e-03  0.0000000e+00]","[-0.7746354  -0.42088214  0.4559106   1.4732927   0.1501959   1.6137056
 -0.4291177   0.        ]","[-3.08165792e-04 -1.02721926e-04  2.39684494e-04 -9.83340348e-16
  1.36962568e-04  3.42406420e-05 -1.36962568e-04  0.00000000e+00]",0.13333334,4,124,74404,0
5,"[-0.7746698  -0.42177254  0.45601577  1.4753458   0.1505095   1.6142709
 -0.42898244  0.        ]","[-1.7913922e-05 -9.2452879e+00 -3.4364839e+00  1.4642407e+01
 -2.1465014e-01 -1.9993368e+00  1.1904743e-03  0.0000000e+00]","[-0.7746526  -0.42088407  0.45591444  1.4732927   0.1501978   1.6137075
 -0.42911962  0.        ]","[-4.45128360e-04 -6.84812840e-05  1.71203210e-04 -9.83340348e-16
  1.02721926e-04  6.84812840e-05 -6.84812840e-05  0.00000000e+00]",0.16666667,5,124,74405,0
6,"[-0.7740306  -0.42391348  0.45629475  1.4760271   0.15095672  1.6155484
 -0.42850703  0.        ]","[ 8.1739435e-04 -1.8996010e+01 -3.4323108e+00  1.4638219e+01
 -2.1434291e-01 -1.9995430e+00  1.1930506e-03  0.0000000e+00]","[-0.7747293  -0.42089748  0.4559566   1.4732927   0.15023233  1.6137094
 -0.42914262  0.        ]","[-1.3353850e-03 -2.0544385e-04  7.5329415e-04 -9.8334035e-16
  6.1633158e-04  3.4240642e-05 -3.7664708e-04  0.0000000e+00]",0.2,6,124,74406,0
7,"[-0.77375454 -0.42468724  0.45654988  1.4769331   0.15119657  1.6161851
 -0.42821223  0.        ]","[ 1.0324728e-02 -8.5118322e+00 -3.4307826e+00  2.0879025e+01
 -2.1402541e-01 -2.0003562e+00  1.1926335e-03  0.0000000e+00]","[-0.7747907  -0.42089748  0.45597386  1.4735209   0.15025726  1.613719
 -0.42915988  0.        ]","[-9.9297869e-04 -1.0864325e-15  2.3968449e-04  4.0746364e-03
  3.7664708e-04  1.7120321e-04 -2.3968449e-04  0.0000000e+00]",0.23333333,7,124,74407,0
8,"[-0.77317977 -0.42677742  0.45694128  1.4775683   0.15172443  1.6176982
 -0.42771178  0.        ]","[-3.9414410e-02 -9.8210106e+00 -3.4702404e+00  2.1427626e+01
 -2.1845958e-01 -1.9977545e+00  1.2092113e-03  0.0000000e+00]","[-0.77479833 -0.4209224   0.45597386  1.4736915   0.15027642  1.6137497
 -0.42916182  0.        ]","[-0.00082178 -0.00044513  0.00013696  0.0065742   0.00065057  0.00071905
 -0.00020544  0.        ]",0.26666668,8,124,74408,0
9,"[-0.7731617  -0.42735848  0.45706066  1.4779196   0.15199341  1.6184492
 -0.42745596  0.        ]","[ 4.0388830e-02 -9.8795280e+00 -3.4069359e+00  2.9311073e+01
 -2.1091476e-01 -1.9995108e+00  1.1901857e-03  0.0000000e+00]","[-0.7748003  -0.42122346  0.4559758   1.4743282   0.15036654  1.6139663
 -0.42916182  0.        ]","[-1.7120321e-04 -5.8209090e-03  3.4240642e-05  1.4415311e-02
  1.9517166e-03  4.4170427e-03 -3.4240642e-05  0.0000000e+00]",0.3,9,124,74409,0
