,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index,next.done
0,"[ 1.3189731e-02  7.7453822e-01  1.5100722e-03  2.5757570e+00
  5.1756442e-01  2.0893607e+00 -2.0633297e+00  0.0000000e+00]","[-1.0678365e-02 -4.7926231e+01  2.3310629e-01  1.4316761e+01
  9.8407030e-01 -9.9957293e-01  3.1772745e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3077186e-02  7.7526045e-01  1.6586167e-03  2.5770187e+00
  5.1765138e-01  2.0899165e+00 -2.0629797e+00  0.0000000e+00]","[ 0.00054785 -0.0051361  -0.00106146 -0.00962162 -0.00013696 -0.00434856
 -0.00212292  0.        ]",0.0,0,24,8776,0,False
1,"[ 1.3216187e-02  7.7431756e-01  1.4658261e-03  2.5753598e+00
  5.1755083e-01  2.0891855e+00 -2.0634217e+00  0.0000000e+00]","[ 3.2324173e-02 -4.7864841e+01  2.3698045e-01  1.4339587e+01
  9.8434246e-01 -9.9522018e-01  3.1799146e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3090609e-02  7.7514732e-01  1.6375245e-03  2.5768154e+00
  5.1764184e-01  2.0898283e+00 -2.0630298e+00  0.0000000e+00]","[ 0.00065057 -0.00499913 -0.00102722 -0.00938194 -0.00023968 -0.00414312
 -0.00205444  0.        ]",0.033333335,1,24,8777,0,False
2,"[ 1.3224090e-02  7.7423114e-01  1.4516916e-03  2.5752048e+00
  5.1754522e-01  2.0891199e+00 -2.0634596e+00  0.0000000e+00]","[-1.0594084e-03 -4.8177338e+01  2.3156112e-01  1.4326281e+01
  9.8363429e-01 -9.9786234e-01  3.1813169e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3104031e-02  7.7500159e-01  1.6164322e-03  2.5765567e+00
  5.1763415e-01  2.0897210e+00 -2.0630949e+00  0.0000000e+00]","[ 0.00047937 -0.00462249 -0.00075329 -0.00825199 -0.00030817 -0.00349255
 -0.00205444  0.        ]",0.06666667,2,24,8778,0,False
3,"[ 1.2824960e-02  7.7419358e-01  2.0538110e-03  2.5749416e+00
  5.1851076e-01  2.0893087e+00 -2.0638461e+00  0.0000000e+00]","[-1.0594084e-03 -4.8093590e+01  2.3156112e-01  1.4326281e+01
  9.8363429e-01 -9.9786234e-01  3.1813169e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3127041e-02  7.7485204e-01  1.5895875e-03  2.5762556e+00
  5.1763225e-01  2.0896115e+00 -2.0631621e+00  0.0000000e+00]","[ 0.00065057 -0.00486217 -0.00082178 -0.00945042 -0.00013696 -0.00366375
 -0.00222564  0.        ]",0.1,3,24,8779,0,False
4,"[ 1.3206642e-02  7.7408940e-01  1.6700205e-03  2.5754988e+00
  5.1731062e-01  2.0879283e+00 -2.0662994e+00  0.0000000e+00]","[ 2.1321723e-02 -4.8035625e+01  2.4222548e-01  1.7252308e+01
  9.9381590e-01 -9.8772198e-01  3.1461269e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3159637e-02  7.7462006e-01  1.5608255e-03  2.5758221e+00
  5.1762837e-01  2.0894544e+00 -2.0632904e+00  0.0000000e+00]","[ 7.8753475e-04 -5.2730590e-03 -7.5329415e-04 -1.0169471e-02
 -6.8481284e-05 -3.6295082e-03 -2.7734921e-03  0.0000000e+00]",0.13333334,4,24,8780,0,False
5,"[ 1.3838972e-02  7.7321166e-01  1.8003695e-04  2.5755506e+00
  5.1461202e-01  2.0889316e+00 -2.0662465e+00  0.0000000e+00]","[ 3.2993343e-01 -5.6370152e+01  3.2081351e-01  8.9594498e+00
  9.9831080e-01 -1.1235185e+00  2.7602969e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3159637e-02  7.7456635e-01  1.5608255e-03  2.5756860e+00
  5.1762837e-01  2.0894103e+00 -2.0633767e+00  0.0000000e+00]","[ 5.8209093e-04 -5.1018558e-03 -5.1360962e-04 -1.0169471e-02
 -6.8481284e-05 -3.5952674e-03 -3.8349519e-03  0.0000000e+00]",0.16666667,5,24,8781,0,False
6,"[ 1.2743217e-02  7.7087045e-01  1.6057616e-03  2.5714133e+00
  5.1690102e-01  2.0986962e+00 -2.0623648e+00  0.0000000e+00]","[  0.0810963  -49.30917      0.35924432  12.724659     0.99006104
  -0.8417537   -3.7402723    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 1.3159637e-02  7.7435350e-01  1.6125973e-03  2.5754273e+00
  5.1765907e-01  2.0888848e+00 -2.0643528e+00  0.0000000e+00]","[ 7.7195195e-16 -3.8007114e-03  9.2449738e-04 -4.6224869e-03
  5.4785027e-04 -9.3819359e-03 -1.7428488e-02  0.0000000e+00]",0.2,6,24,8782,0,False
7,"[ 0.01202781  0.7702367   0.00277671  2.5697885   0.5192923   2.1014152
 -2.0599654   0.        ]","[-1.5057736e-02 -4.9839180e+01  1.5579370e-01  1.5187152e+01
  2.3707254e+00 -1.1444197e+00 -2.7862668e-01  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3232502e-02  7.7409655e-01  1.4035924e-03  2.5753734e+00
  5.1704931e-01  2.0889962e+00 -2.0646596e+00  0.0000000e+00]","[ 0.00130114 -0.00722478 -0.00335558 -0.0029447  -0.01164182 -0.00373223
 -0.01773665  0.        ]",0.23333333,7,24,8783,0,False
8,"[ 0.01230095  0.7700564   0.00273582  2.5711858   0.5190422   2.0975883
 -2.0616834   0.        ]","[-3.5963652e-01 -4.9289070e+01 -6.8578668e+00  1.7298561e+01
 -2.7798390e+00 -7.5525111e-01  4.0977513e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.3401240e-02  7.7321261e-01  9.4339816e-04  2.5747464e+00
  5.1599473e-01  2.0908618e+00 -2.0647132e+00  0.0000000e+00]","[ 0.00414312 -0.01893508 -0.01085428 -0.01181302 -0.02639954  0.0353021
 -0.00414312  0.        ]",0.26666668,8,24,8784,0,False
9,"[ 1.2445451e-02  7.6916355e-01  2.3205690e-03  2.5709760e+00
  5.1799899e-01  2.0996325e+00 -2.0619805e+00  0.0000000e+00]","[  0.97351885 -48.942535     0.77719396  16.242456     1.3450556
   1.9097658   -0.53993386   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 1.33801475e-02  7.72631586e-01  1.04694185e-03  2.57400250e+00
  5.16226709e-01  2.09261250e+00 -2.06413412e+00  0.00000000e+00]","[ 0.00174627 -0.02396845 -0.00414312 -0.02389997 -0.00931345  0.06238645
  0.01105973  0.        ]",0.3,9,24,8785,0,False
